suicides,age,period,cohort,sex,country
0,44,2002,1958,male,Antigua and Barbuda
0,10,2002,1992,male,Antigua and Barbuda
0,64,2002,1938,male,Antigua and Barbuda
0,75,2002,1927,male,Antigua and Barbuda
1,64,2003,1939,male,Antigua and Barbuda
0,20,2003,1983,female,Antigua and Barbuda
0,30,2003,1973,female,Antigua and Barbuda
0,44,2003,1959,female,Antigua and Barbuda
0,10,2003,1993,female,Antigua and Barbuda
0,64,2003,1939,female,Antigua and Barbuda
0,75,2003,1928,female,Antigua and Barbuda
0,20,2003,1983,male,Antigua and Barbuda
0,30,2003,1973,male,Antigua and Barbuda
0,44,2003,1959,male,Antigua and Barbuda
0,10,2003,1993,male,Antigua and Barbuda
0,75,2003,1928,male,Antigua and Barbuda
1,64,2004,1940,male,Antigua and Barbuda
1,44,2004,1960,male,Antigua and Barbuda
0,20,2004,1984,female,Antigua and Barbuda
0,30,2004,1974,female,Antigua and Barbuda
0,44,2004,1960,female,Antigua and Barbuda
0,10,2004,1994,female,Antigua and Barbuda
0,64,2004,1940,female,Antigua and Barbuda
0,75,2004,1929,female,Antigua and Barbuda
0,20,2004,1984,male,Antigua and Barbuda
0,30,2004,1974,male,Antigua and Barbuda
0,10,2004,1994,male,Antigua and Barbuda
0,75,2004,1929,male,Antigua and Barbuda
0,20,2005,1985,female,Antigua and Barbuda
0,30,2005,1975,female,Antigua and Barbuda
0,44,2005,1961,female,Antigua and Barbuda
0,10,2005,1995,female,Antigua and Barbuda
0,64,2005,1941,female,Antigua and Barbuda
0,75,2005,1930,female,Antigua and Barbuda
0,20,2005,1985,male,Antigua and Barbuda
0,30,2005,1975,male,Antigua and Barbuda
0,44,2005,1961,male,Antigua and Barbuda
0,10,2005,1995,male,Antigua and Barbuda
0,64,2005,1941,male,Antigua and Barbuda
0,75,2005,1930,male,Antigua and Barbuda
0,20,2006,1986,female,Antigua and Barbuda
0,30,2006,1976,female,Antigua and Barbuda
0,44,2006,1962,female,Antigua and Barbuda
0,10,2006,1996,female,Antigua and Barbuda
0,64,2006,1942,female,Antigua and Barbuda
0,75,2006,1931,female,Antigua and Barbuda
0,20,2006,1986,male,Antigua and Barbuda
0,30,2006,1976,male,Antigua and Barbuda
0,44,2006,1962,male,Antigua and Barbuda
0,10,2006,1996,male,Antigua and Barbuda
0,64,2006,1942,male,Antigua and Barbuda
0,75,2006,1931,male,Antigua and Barbuda
1,44,2007,1963,male,Antigua and Barbuda
0,20,2007,1987,female,Antigua and Barbuda
0,30,2007,1977,female,Antigua and Barbuda
0,44,2007,1963,female,Antigua and Barbuda
0,10,2007,1997,female,Antigua and Barbuda
0,64,2007,1943,female,Antigua and Barbuda
0,75,2007,1932,female,Antigua and Barbuda
0,20,2007,1987,male,Antigua and Barbuda
0,30,2007,1977,male,Antigua and Barbuda
